bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, -0.1169, 2.1095, -0.6535, -0.033092, -0.612549, 0.788590, 0.042603
cut, -0.1218, 2.1082, -0.6535, -0.035044, -0.612441, 0.788450, 0.045115
cut, -0.1266, 2.1070, -0.6535, -0.036992, -0.612326, 0.788302, 0.047623
cut, -0.1315, 2.1058, -0.6535, -0.038937, -0.612205, 0.788147, 0.050128
cut, -0.1363, 2.1045, -0.6535, -0.040879, -0.612079, 0.787984, 0.052627
cut, -0.1412, 2.1033, -0.6535, -0.042817, -0.611946, 0.787813, 0.055122
cut, -0.1460, 2.1020, -0.6535, -0.044751, -0.611808, 0.787635, 0.057611
cut, -0.1509, 2.1008, -0.6535, -0.046681, -0.611664, 0.787450, 0.060096
cut, -0.1557, 2.0996, -0.6535, -0.048606, -0.611514, 0.787256, 0.062575
cut, -0.1606, 2.0983, -0.6535, -0.050528, -0.611358, 0.787056, 0.065049
cut, -0.1654, 2.0971, -0.6535, -0.052444, -0.611196, 0.786848, 0.067516
cut, -0.1702, 2.0959, -0.6534, -0.054357, -0.611029, 0.786633, 0.069978
cut, -0.1751, 2.0946, -0.6534, -0.056264, -0.610857, 0.786411, 0.072434
cut, -0.1799, 2.0934, -0.6534, -0.058166, -0.610679, 0.786181, 0.074883
cut, -0.1848, 2.0922, -0.6534, -0.060064, -0.610495, 0.785945, 0.077325
cut, -0.1896, 2.0909, -0.6534, -0.061956, -0.610306, 0.785701, 0.079761
cut, -0.1945, 2.0897, -0.6534, -0.063842, -0.610111, 0.785451, 0.082190
cut, -0.1993, 2.0884, -0.6534, -0.065724, -0.609911, 0.785194, 0.084612
cut, -0.2042, 2.0872, -0.6534, -0.067599, -0.609706, 0.784930, 0.087026
cut, -0.2090, 2.0860, -0.6534, -0.069469, -0.609496, 0.784659, 0.089433
cut, -0.2138, 2.0847, -0.6534, -0.071332, -0.609281, 0.784382, 0.091833
cut, -0.2187, 2.0835, -0.6534, -0.073190, -0.609061, 0.784098, 0.094224
cut, -0.2235, 2.0823, -0.6534, -0.075042, -0.608835, 0.783808, 0.096608
cut, -0.2284, 2.0810, -0.6534, -0.076887, -0.608605, 0.783512, 0.098983
